Unnamed: 0,2015,2020,2025,2030,2035,2040,2045,2050
Fossil fuels,,,,,,,,
coal,12.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0
fossil oil products,162.0,150.0,112.0,75.0,47.0,0.0,0.0,0.0
fossil gas,53.0,50.0,37.0,23.0,0.0,0.0,0.0,0.0
waste,,,,,,,,
steam,,,,,,,,
Bioenergy,,,,,,,,
solid biomass,18.0,18.0,18.0,18.0,18.0,18.0,5.0,0.0
liquid biofuels,0.0,2.0,20.0,30.0,30.0,30.0,30.0,30.0
out of which 1st gen,,,,,,,,
out of which 2-3 gen,,,,,,,,
biomethane,,,,,,,,
biogas,,,,,,,,
Electricity,,,,,,,,
electricity,58.0,53.0,53.0,51.0,51.0,50.0,44.0,41.0
Low temperature heat,,,,,,,,
solid biomass heat (delivered energy),7.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0
biomethane heat (delivered energy),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
biogas heat (delivered energy),11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
solar thermal,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0
geothermal heat,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ambient heat captured by heat pumps,1.0,1.0,9.0,17.0,26.0,34.0,35.0,35.0
industrial excess heat recovery,,,,,,,,
municipal solid waste (non-renewable),,,,,,,,
municipal solid waste (renewable),,,,,,,,
Non-fossil gases + fuels,,,,,,,,
renewable hydrogen,,,,,,,,
renewable  ammonia,,,,,,,,
synthetic methane,,,,,,,,
liquid synthetic fuels,,,,,,,,
