Unnamed: 0,2015,2020,2025,2030,2035,2040,2045,2050
Fossil fuels,,,,,,,,
coal,175.0,141.0,48.0,14.0,0.0,0.0,0.0,0.0
fossil oil products,346.0,325.0,272.0,104.0,16.0,0.0,0.0,0.0
fossil gas,1307.0,1294.0,955.0,564.0,136.0,0.0,0.0,0.0
waste,,,,,,,,
steam,,,,,,,,
Bioenergy,,,,,,,,
solid biomass,491.0,486.0,372.0,327.0,234.0,23.0,0.0,0.0
liquid biofuels,,,,,,,,
out of which 1st gen,,,,,,,,
out of which 2-3 gen,,,,,,,,
biomethane,0.0,0.0,5.0,10.0,15.0,20.0,20.0,20.0
biogas,,,,,,,,
Electricity,,,,,,,,
electricity,778.0,748.0,727.0,701.0,726.0,620.0,544.0,491.0
Low temperature heat,,,,,,,,
solid biomass heat (delivered energy),43.0,43.0,29.0,14.0,0.0,0.0,0.0,0.0
biomethane heat (delivered energy),1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
biogas heat (delivered energy),12.0,12.0,10.0,5.0,2.0,0.0,0.0,0.0
solar thermal,17.0,20.0,21.0,24.0,30.0,38.0,38.0,38.0
geothermal heat,4.0,6.0,7.0,7.0,11.0,13.0,13.0,13.0
ambient heat captured by heat pumps,16.0,19.0,151.0,284.0,422.0,422.0,422.0,374.0
industrial excess heat recovery,0.0,6.0,22.0,44.0,59.0,44.0,44.0,44.0
municipal solid waste (non-renewable),19.0,18.0,14.0,9.0,5.0,0.0,0.0,0.0
municipal solid waste (renewable),15.0,14.0,10.0,7.0,3.0,0.0,0.0,0.0
Non-fossil gases + fuels,,,,,,,,
renewable hydrogen,,,,,,,,
renewable  ammonia,,,,,,,,
synthetic methane,,,,,,,,
liquid synthetic fuels,,,,,,,,
