,2015,2020,2025,2030,2035,2040,2045,2050,0
AL,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
AT,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
BA,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
BE,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
BG,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
CH,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
CY,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
CZ,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
DE,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
DK,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
EE,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
ES,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
FI,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
FR,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
GB,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
GR,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
HR,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
HU,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
IE,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
IS,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
IT,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
LT,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
LU,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
LV,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
ME,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
MK,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
MT,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
NL,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
NO,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
PL,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
PT,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
RO,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
RS,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
SE,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
SI,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
SK,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
TR,,0.65,0.65,0.65,0.65,0.65,0.65,0.65,
TR,,,,,,,,,
