,2015,2020,2025,2030,2035,2040,2045,2050,0
AL,,,,,,,,,
AT,,,,,,,,,
BA,,0.776,0.776,0.633,0.2,0.1,0.1,,
BE,,,,,,,,,
BG,,0.66,0.66,0.66,0.2,0.1,0.1,,
CH,,,,,,,,,
CY,,,,,,,,,
CZ,,0.62,0.62,0.62,0.2,0.1,0.1,,
DE,,0.85,0.85,0.85,0.85,0.85,,,
DK,,,,,,,,,
EE,,,,,,,,,
ES,,0.5,0.5,0.5,0.5,0.5,,,
FI,,,,,,,,,
FR,,,,,,,,,
GB,,,,,,,,,
GR,,0.6,0.6,0.6,0.2,0.1,0.1,,
HR,,,,,,,,,
HU,,0.79,0.79,0.79,0.2,0.1,0.1,,
IE,,,,,,,,,
IS,,,,,,,,,
IT,,,,,,,,,
LT,,,,,,,,,
LU,,,,,,,,,
LV,,,,,,,,,
ME,,0.776,0.776,0.633,0.2,0.1,0.1,,
MK,,0.776,0.776,0.633,0.2,0.1,0.1,,
MT,,,,,,,,,
NL,,,,,,,,,
NO,,,,,,,,,
PL,,0.78,0.78,0.78,0.2,0.1,0.1,,
PT,,,,,,,,,
RO,,0.56,0.56,0.56,0.2,0.1,0.1,,
RS,,0.776,0.776,0.633,0.2,0.1,0.1,,
SE,,,,,,,,,
SI,,0.88,0.88,0.88,0.88,0.88,,,
SK,,0.85,0.85,0.85,0.85,0.85,,,
TR,,0.52,0.65,0.65,0.65,0.65,0.572,,
TR,,,,,,,,,
