,2015,2020,2025,2030,2035,2040,2045,2050
AL,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
AT,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
BA,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
BE,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
BG,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
CH,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
CY,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
CZ,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
DE,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
DK,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
EE,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
ES,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
FI,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
FR,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
GB,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
GR,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
HR,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
HU,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
IE,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
IS,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
IT,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
LT,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
LU,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
LV,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
ME,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
MK,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
MT,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
NL,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
NO,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
PL,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
PT,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
RO,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
RS,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
SE,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
SI,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
SK,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
TR,,0.239244181856316,0.28,0.33,0.34,0.35640000000000005,0.36,0.36300000000000004
TR,,,,,,,,
