,2015,2020,2025,2030,2035,2040,2045,2050,0
AL,,,,,,,,,
AT,,,,,,,,,
BA,,,,,,,,,
BE,,,,,,,,,
BG,,,,,,,,,
CH,,,,,,,,,
CY,0.2308293143177278,0.2308293143177278,0.2464293143177278,0.26204948535762873,0.2694,0.2775848777161164,0.2775848777161164,0.2775848777161164,
CZ,,,,,,,,,
DE,0.2308293143177278,0.2308293143177278,0.2464293143177278,0.26204948535762873,0.2694,0.2775848777161164,0.2775848777161164,0.2775848777161164,
DK,,,,,,,,,
EE,,,,,,,,,
ES,0.2308293143177278,0.2308293143177278,0.2464293143177278,0.26204948535762873,0.2694,0.2775848777161164,0.2775848777161164,0.2775848777161164,
FI,,,,,,,,,
FR,0.2308293143177278,0.2308293143177278,0.2464293143177278,0.26204948535762873,0.2694,0.2775848777161164,0.2775848777161164,0.2775848777161164,
GB,,,,,,,,,
GR,0.2308293143177278,0.2308293143177278,0.2464293143177278,0.26204948535762873,0.2694,0.2775848777161164,0.2775848777161164,0.2775848777161164,
HR,0.2308293143177278,0.2308293143177278,0.2464293143177278,0.26204948535762873,0.2694,0.2775848777161164,0.2775848777161164,0.2775848777161164,
HU,0.2308293143177278,0.2308293143177278,0.2464293143177278,0.26204948535762873,0.2694,0.2775848777161164,0.2775848777161164,0.2775848777161164,
IE,,,,,,,,,
IS,,,,,,,,,
IT,0.2308293143177278,0.2308293143177278,0.2464293143177278,0.26204948535762873,0.2694,0.2775848777161164,0.2775848777161164,0.2775848777161164,
LT,,,,,,,,,
LU,,,,,,,,,
LV,,,,,,,,,
ME,,,,,,,,,
MK,,,,,,,,,
MT,,,,,,,,,
NL,,,,,,,,,
NO,,,,,,,,,
PL,,,,,,,,,
PT,,,,,,,,,
RO,,,,,,,,,
RS,,,,,,,,,
SE,,,,,,,,,
SI,,,,,,,,,
SK,,,,,,,,,
TR,,,,,,,,,
TR,,,,,,,,,
