,2015,2020,2025,2030,2035,2040,2045,2050
AL,,,,,,,,
AT,,,,,,,,
BA,,,,,,,,
BE,0,0.0002095779033061328,0.012264000000000002,0.28908,0.29784,0.31220640000000005,0.31536,0.31798800000000005
BG,,,,,,,,
CH,,,,,,,,
CY,,,,,,,,
CZ,,,,,,,,
DE,,,,,,,,
DK,0,0.0002095779033061328,0.012264000000000002,0.28908,0.29784,0.31220640000000005,0.31536,0.31798800000000005
EE,,,,,,,,
ES,0,0.03,0.24528000000000003,1.73448,1.7870400000000002,1.8732384000000002,1.89216,1.9079280000000003
FI,,,,,,,,
FR,0.49,0.5,0.7358400000000002,2.8908,2.9784,3.1220640000000004,3.1536,3.1798800000000003
GB,0,0.01,0.6132,2.02356,2.08488,2.1854448000000004,2.20752,2.2259160000000007
GR,0,0.0002095779033061328,0.012264000000000002,0.28908,0.29784,0.31220640000000005,0.31536,0.31798800000000005
HR,,,,,,,,
HU,,,,,,,,
IE,,,,,,,,
IS,,,,,,,,
IT,0,0.0006287337099183984,0.012264000000000002,0.28908,0.29784,0.31220640000000005,0.31536,0.31798800000000005
LT,,,,,,,,
LU,,,,,,,,
LV,,,,,,,,
ME,,,,,,,,
MK,,,,,,,,
MT,,,,,,,,
NL,0,0.004191558066122657,0.024528000000000005,0.57816,0.59568,0.6244128000000001,0.63072,0.6359760000000001
NO,,,,,,,,
PL,,,,,,,,
PT,0,0.0010478895165306641,0.024528000000000005,0.57816,0.59568,0.6244128000000001,0.63072,0.6359760000000001
RO,,,,,,,,
RS,,,,,,,,
SE,,0.0020957790330613283,0.024528000000000005,0.57816,0.59568,0.6244128000000001,0.63072,0.6359760000000001
SI,,,,,,,,
SK,,,,,,,,
TR,,,,,,,,
total,0.49,0.5485926940355516,1.7169600000000007,9.539640000000002,9.828719999999999,10.302811200000003,10.406880000000001,10.493604
EU28,0.49,0.5485926940355516,1.7169600000000007,9.539640000000002,9.828719999999999,10.302811200000003,10.406880000000001,10.493604
