,2015.0,2020.0,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,
AL,1492,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,
AT,5543,5558.0,5558.0,5558.0,5558.0,5558.0,5558.0,5558.0,
BA,906,906.0,906.0,906.0,906.0,906.0,906.0,906.0,
BE,171,181.0,181.0,181.0,181.0,181.0,181.0,181.0,
BG,530,530.0,530.0,530.0,530.0,530.0,530.0,530.0,
CH,190,635.0,635.0,635.0,635.0,635.0,635.0,635.0,
CY,,,,,,,,,
CZ,440,334.0,334.0,334.0,334.0,334.0,334.0,334.0,
DE,3989,3983.0,3983.0,3983.0,3983.0,3983.0,3983.0,3983.0,
DK,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,
EE,8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
ES,1085,1156.0,1156.0,1156.0,1156.0,1156.0,1156.0,1156.0,
FI,3264,3148.0,3148.0,3148.0,3148.0,3148.0,3148.0,3148.0,
FR,10314,10955.0,10955.0,10955.0,10955.0,10955.0,10955.0,10955.0,
UK,,,,,,,,,
EL,299,299.0,299.0,299.0,299.0,299.0,299.0,299.0,
HR,421,421.0,421.0,421.0,421.0,421.0,421.0,421.0,
HU,29,28.0,28.0,28.0,28.0,28.0,28.0,28.0,
IE,216,216.0,216.0,216.0,216.0,216.0,216.0,216.0,
IS,,,,,,,,,
IT,10719,10650.0,10650.0,10650.0,10650.0,10650.0,10650.0,10650.0,
LT,128,128.0,128.0,128.0,128.0,128.0,128.0,128.0,
LU,5558,5558.0,5558.0,5558.0,5558.0,5558.0,5558.0,5558.0,
LV,1537,1539.0,1539.0,1539.0,1539.0,1539.0,1539.0,1539.0,
ME,307,307.0,307.0,307.0,307.0,307.0,307.0,307.0,
MK,,,,,,,,,
MT,,,,,,,,,
NL,38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,
NO,1352,1149.0,1149.0,1149.0,1149.0,1149.0,1149.0,1149.0,
PL,378,435.0,435.0,435.0,435.0,435.0,435.0,435.0,
PT,2979,2858.0,2858.0,2858.0,2858.0,2858.0,2858.0,2858.0,
RO,2670,2770.0,2770.0,2770.0,2770.0,2770.0,2770.0,2770.0,
RS+KS,1883,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,
SE,,,,,,,,,
SI,1053,1053.0,1053.0,1053.0,1053.0,1053.0,1053.0,1053.0,
SK,1199,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,
TR,8000,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,8000.0,
total,66707,67533.0,67533.0,67533.0,67533.0,67533.0,67533.0,67533.0,
EU28,52577,53062.0,53062.0,53062.0,53062.0,53062.0,53062.0,53062.0,
