,2015,2020,2025,2030,2035,2040,2045,2050
AL,,,,,,,,
AT,,,,,,,,
BA,,,,,,,,
BE,0,0.1,5.0,100.0,100.0,100.0,100.0,100.0
BG,,,,,,,,
CH,,,,,,,,
CY,,,,,,,,
CZ,,,,,,,,
DE,,,,,,,,
DK,0,0.1,5.0,100.0,100.0,100.0,100.0,100.0
EE,,,,,,,,
ES,4.8,5,100.0,600.0,600.0,600.0,600.0,600.0
FI,,,,,,,,
FR,218.33,218,300.0,1000.0,1000.0,1000.0,1000.0,1000.0
GB,9,20,250.0,700.0,700.0,700.0,700.0,700.0
GR,0,0.1,5.0,100.0,100.0,100.0,100.0,100.0
HR,,,,,,,,
HU,,,,,,,,
IE,,,,,,,,
IS,,,,,,,,
IT,0,0.3,5.0,100.0,100.0,100.0,100.0,100.0
LT,,,,,,,,
LU,,,,,,,,
LV,,,,,,,,
ME,,,,,,,,
MK,,,,,,,,
MT,,,,,,,,
NL,0,2,10.0,200.0,200.0,200.0,200.0,200.0
NO,,,,,,,,
PL,,,,,,,,
PT,0,0.5,10.0,200.0,200.0,200.0,200.0,200.0
RO,,,,,,,,
RS,,,,,,,,
SE,0,1,10.0,200.0,200.0,200.0,200.0,200.0
SI,,,,,,,,
SK,,,,,,,,
TR,,,,,,,,
total,232.13000000000002,247.1,700.0,3300.0,3300.0,3300.0,3300.0,3300.0
EU28,232.13000000000002,247.1,700.0,3300.0,3300.0,3300.0,3300.0,3300.0
