,dE res,cost res,floor res,dE nres,cost nres,floor nres,dE tot,cost tot,floor tot
BE,0.05871734228025709,33.93093189369261,428.75,0.041505127268908995,29.233145112122546,185.36,0.053522090331089206,32.51297459315715,614.11
BG,0.09083881737675681,12.72932792837815,332.06,0.05736619377325594,12.031063277255768,88.69,0.0837831144952488,12.582140544164144,420.75
HR,0.07970166002733531,17.455269755780485,162.36,0.05130833553908145,16.630411441563048,35.76,0.07457675954429495,17.30638557792658,198.12
CY,0.05231964262588856,26.889445417363795,66.57,0.0425288627145159,23.542426196962687,8.31,0.051233085720660106,26.51800137727922,74.88
CZ,0.10194924812146479,17.310092531962137,375.33,0.0708703795996832,16.89026162033747,175.49,0.09204759125191131,17.176335357783618,550.8199999999999
DK,0.1260992444541414,40.62691292356881,355.07,0.08122925007044576,35.88530968874777,115.31,0.1150997141756773,39.46454575445615,470.38
EE,0.18719281851867353,17.959879348623172,41.37,0.12190703717957126,19.826568640488446,12.5,0.17204389951479793,18.393026112096642,53.87
FI,0.17213096861242055,33.22649822705263,287.94,0.11354737534546178,32.06551206076375,121.6,0.15473641633117283,32.88177996309617,409.53999999999996
FR,0.08753651331936245,30.59781821933983,3115.25,0.045831031947221025,27.90790920037299,947.9,0.07780696216012571,29.970284222544567,4063.15
DE,0.088919392251048,28.14707643893918,3785.85,0.06379874647250557,27.050403610417394,1670.63,0.08122811427385274,27.811304196117188,5456.48
EL,0.06343430771219434,23.146443548298905,583.9,0.051928427629572414,21.25574462374777,73.52,0.06214759251692441,22.935004612864937,657.42
HU,0.08498519818808219,17.316533828156192,450.48,0.05695487770578643,15.331160547690935,145.85,0.07812956080216693,16.83095253431577,596.33
IE,0.10067515445902094,42.92414067334219,210.75,0.05309276005044124,33.5726430976554,82.3,0.08731214111718127,40.29787126375671,293.05
IT,0.05914685948574416,23.111642547819965,2986.71,0.04152435021415798,26.348808127726457,284.74,0.05761303402914497,23.39339850533806,3271.45
LV,0.09195684633232817,16.88422849308531,68.65,0.06123289637185571,18.05958742482237,23.74,0.08406219786321231,17.1862419257018,92.39
LT,0.11232288969794885,17.365727354442004,86.91,0.06798454330593665,15.954800976749548,51.92,0.09574112102638455,16.83806548359426,138.82999999999998
LU,0.10816723847091486,39.90990857493898,28.77,0.06766079288439045,36.794785314458245,14.26,0.09474353607575244,38.87756700639482,43.03
MT,0.045557035915761615,21.237612369135412,26.72,0.025203296332365163,21.671504909786847,3.14,0.04341668955635557,21.283239381112825,29.86
NL,0.08091524770915375,34.3075474225963,886.24,0.05169080428987995,29.83080052330372,549.26,0.06973320814630433,32.59462648779627,1435.5
PL,0.08869386988485874,16.289107240030937,1028.41,0.05356838328152639,14.10986470745115,498.84,0.07722096254342392,15.577309338605431,1527.25
PT,0.05181381293244773,24.490502094747043,660.95,0.03478577046816155,21.983325124316153,104.47,0.04948970382079142,24.148304637010224,765.4200000000001
RO,0.06822425803768926,14.092037629487429,358.81,0.05077410058193196,12.62871868843694,62.5,0.06563558261820045,13.874958913540368,421.31
SK,0.07290781920713241,18.1048594035735,171.54,0.05561686353687986,17.176096816989332,102.14,0.06645466876808098,17.758236301433385,273.68
SI,0.0940258975228734,24.523295750780164,71.33,0.06340705974268328,21.775444981296616,14.3,0.0889126267035727,24.064411411137346,85.63
ES,0.06283307735082279,22.614568364780176,2433.82,0.041139029755209396,24.3479617511634,349.24,0.06011073964258364,22.832088039620274,2783.0600000000004
SE,0.15110862057610597,33.70986322353492,473.04,0.08647120710830197,32.97498768647423,208.48,0.1313357482322749,33.48506152737573,681.52
UK,0.06910586481888566,38.32640304659472,2726.83,0.04451278633318474,30.58436604174954,808.03,0.06348415838389221,36.556658796178844,3534.8599999999997
